organisation,commodity,area_hectares,predicted_tonnes,actual_tonnes
Sentry,1,203,1676.59,1900
Sentry,1,98,884.61,948
Sentry,11,62,530.4,605
Sentry,42,191,525.25,573
Sentry,19,35,105,90
Sentry,42,40,134,134
Sentry,42,35,127.4,128
Sentry,42,45,150.75,150
Sentry,42,75,247.5,153
Sentry,1,131,1063.6,1211
Sentry,97,54,176.64,120
Sentry,60,59,2624.32,2901
Sentry,1,41,348.5,380
Sentry,97,49,177.08,100
Sentry,11,84,526.81,478
Sentry,11,40,323.04,323
Sentry,1,63,598.5,600
Sentry,19,64,209.3,175
Sentry,11,78,479.53,343
Sentry,1,26,227.58,228
West Marden Farms,1,5,48.6,45
Sentry,1,37,296,237
Eastburn Farms,51,22,814,631
Eastburn Farms,35,2,40,49
Sentry,42,36,130.82,130
Sentry,11,23,146.5,163
Sentry,11,20,126.25,150
Sentry,11,42,315,229
Sentry,11,65,464.75,539
Sentry,42,46,138,181
Sentry,42,11,41.66,46
Sentry,42,30,114.34,80
Sentry,42,16,46.17,58
Sentry,11,114,799.75,1065
Sentry,11,16,120,128
Sentry,42,21,63.3,71
Sentry,11,25,171.99,204
Sentry,42,7,25.59,15
Sentry,11,99,636.22,626
Sentry,11,37,261.8,280
Sentry,11,23,162.33,139
Sentry,11,100,751.12,799
Sentry,11,32,272,245
Sentry,42,68,204,142
Sentry,11,59,362.71,372
T Brown and Son,11,19,133,180
Eastburn Farms,42,30,79.22,96
Sentry,11,48,288,275
Sentry,11,28,141.3,140
Fenwick Brothers Limited,42,102,459,313
Fenwick Brothers Limited,11,38,307.6,320
Fenwick Brothers Limited,19,10,30,18
Sentry,1,52,429,397
Sentry,11,22,121,18
Sentry,1,107,904.77,656
Sentry,1,42,520,339
JE DALE LIMITED,42,121,447.81,448
Homelands Farm,1,25,202.48,208
Sentry,1,455,4013.51,2954
Sentry,1,404,3549,3425
W D Branton,42,53,160.41,161
West Marden Farms,42,67,249.31,180
Sentry,11,346,2382.5,2501
M S & H M SIMPSON,42,190,722.36,752
Sentry,42,33,116.59,116
Sentry,11,60,541.26,570
Sentry,11,65,457.8,541
Dennington Hall Farms,11,70,630,795
Dennington Hall Farms,11,30,270,326
R & L Anthony Ltd,42,34,170,152
R & L Anthony Ltd,42,127,620,437
R & L Anthony Ltd,1,105,1049.3,803
Fenwick Brothers Limited,1,258,2814.9,2611
JE DALE LIMITED,19,51,215.21,215
Sentry,35,70,351.5,347
Sentry,11,53,373.1,114
Sentry,1,32,160,45
Sentry,1,113,1017,950
Sentry,11,84,546,155
Sentry,19,92,368,278
Bidwells,1,137,1096.4,1145
Bidwells,11,58,451.05,349
Bidwells,11,73,440.64,297
Sentry,1,313,2699.02,2853
Sentry,1,89,578.5,290
Sentry,1,212,1909.26,1754
Sentry,42,82,266.5,110
Hutton Wandesley Estate,1,224,2292.64,1938
Up Marden Farms,42,43,160.03,169
Up Marden Farms,11,79,585.12,628
Up Marden Farms,1,24,241.96,210
Eastburn Farms,11,22,167.25,178
R & L Anthony Ltd,1,324,3235.2,2394
Up Marden Farms,1,91,789.86,880
Sentry,1,121,1089,968
Sentry,42,40,140,150
Sentry,1,33,214.5,264
Sentry,11,80,562.94,583
Sentry,1,83,1313.61,755
Sentry,1,41,330.48,826
Velcourt Ltd,11,50,415,555
Velcourt Ltd,11,94,781.78,956
